Municipality,Township,Name,Sub_Location,Address,Latitude,Longitude,Address found
Ararat Rural City,Willaura,Willaura Memorial Hall,"Footpath and Car Park in
front",Main Street (opposite Commercial Street),-37.5420036,142.7388041,"Commercial St, Willaura VIC 3379, Australia"
Surf Coast Shire,Winchelsea,Service Lane/Shopping Strip,Car Park,"Princes Highway service lane (between Hesse Street and
Palmer Street)",-38.2433258,143.9906046,"Palmer St, Winchelsea VIC 3241, Australia"
Wodonga City,Wodonga,Martin Park,Oval No.2,Gordon Street  (Entry opposite Mark Street),-36.1346797,146.8819509,"Martin Park, Gordon St, Wodonga VIC 3690, Australia"
Wodonga City,Wodonga,Birallee Park,Football Ground,Marshall Street,-36.1271233,146.858521,"Birallee Park, West Wodonga VIC 3690, Australia"
Wodonga City,Wodonga,Kelly Park Soccer Ground,,Lawrence Street,-36.1209326,146.869768,"Kelly Park, Wodonga VIC 3690, Australia"
Manningham City,Wonga Park,Dudley Road Reserve,,"Dudley Road (between  house number 35 and Wonga Park
Primary School Netball & Basketball Courts)",-37.73058,145.273476,"41 Dudley Rd, Wonga Park VIC 3115, Australia"
Macedon Ranges Shire,Woodend,Buffalo Stadium,,1-29 Forest Street  (Tylden-Woodend Road),-37.3537235,144.5213104,"1 Forest St, Woodend VIC 3442, Australia"
Yarra Ranges Shire,Woori Yallock,Woori Yallock Recreation Reserve,Oval,Healesville-Koo Wee Rup Road opposite Nester Road,-37.7833823,145.5317717,"Woori Yallock Recreation Reserve, Healesville - Koo Wee Rup Rd, Woori Yallock VIC 3139, Australia"
Indigo Shire,Yackandandah,Memorial Gardens,,Cnr High Street and Wellsford Street,-36.3130345,146.8378452,"Wellsford St, Yackandandah VIC 3749, Australia"
Indigo Shire,Yackandandah,Yackandandah Senior Citizens Hall,,14 Wellsford Street,-36.3137579,146.838161,"14 Wellsford St, Yackandandah VIC 3749, Australia"
Murrindindi Shire,Yarck,Yarck Recreation Reserve,,Corner Yarck Road and Goodear Lane,-37.0991175,145.6159307,"Yarck Recreation Reserve, Goodear Ln, Yarck VIC 3719, Australia"
Yarra Ranges Shire,Yarra Glen,Yarra Valley Racing Centre,Car Park,2 Armstrong Grove (Corner Healesville-Yarra Glen Road),-37.656009,145.38488,"Yarra Valley Racing, Armstrong Grove, Yarra Glen VIC 3775, Australia"
Yarra Ranges Shire,Yarra Junction,Recreation Reserve,,Park Road (off Warburton Highway),-37.7813762,145.6209179,"Warburton Hwy, Yarra Junction VIC 3797, Australia"
Nillumbik Shire,Yarrambat,Yarrambat Golf Course,Clubhouse,649 Yan Yean Road,-37.627043,145.1324533,"Yarrambat Park Public Golf Course, 649 Yan Yean Rd, Yarrambat VIC 3091, Australia"
Moira Shire,Yarrawonga,Victoria Park,Cricket Oval,Dunlop St (opposite Coghill St). Entry also off Woods St,-36.0110496,146.009898,"Coghill St, Yarrawonga VIC 3730, Australia"
Murrindindi Shire,Yea,Yea Skate Park,,Station Street (Melba Highway) opposite Mary Street,-37.2143474,145.4298473,"12 Oliver St, Yea VIC 3717, Australia"
Latrobe City,Yinnar,Yinnar Primary School,Administration Building,30 Main Street,-38.3212741,146.3288448,"30 Main St, Yinnar VIC 3869, Australia"
